0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000001,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000002,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000003,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000004,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000005,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000006,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000007,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000008,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000009,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000010,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000011,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000012,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000013,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000014,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000015,0
0,0,0,0,0,0.000016,0
0,0,0,0,0,0.000016,0
0,0,0,0,0,0.000016,0
0,0,0,0,0,0.000016,0
0,0,0,0,0,0.000016,0
0,0,0,0,0,0.000016,0
0,0,0,0,0,0.000016,0
0,0,0,0,0,0.000016,0
0,0,0,0,0,0.000016,0
0,0,0,0,0,0.000016,0
0,0,0,0,0,0.000017,0
0,0,0,0,0,0.000017,0
0,0,0,0,0,0.000017,0
0,0,0,0,0,0.000017,0
0,0,0,0,0,0.000017,0
0,0,0,0,0,0.000017,0
0,0,0,0,0,0.000017,0
0,0,0,0,0,0.000017,0
0,0,0,0,0,0.000017,0
0,0,0,0,0,0.000017,0
0,0,0,0,0,0.000018,0
0,0,0,0,0,0.000018,0
0,0,0,0,0,0.000018,0
0,0,0,0,0,0.000018,0
0,0,0,0,0,0.000018,0
0,0,0,0,0,0.000018,0
0,0,0,0,0,0.000018,0
0,0,0,0,0,0.000018,0
0,0,0,0,0,0.000018,0
0,0,0,0,0,0.000018,0
0,0,0,0,0,0.000019,0
0,0,0,0,0,0.000019,0
0,0,0,0,0,0.000019,0
0,0,0,0,0,0.000019,0
0,0,0,0,0,0.000019,0
0,0,0,0,0,0.000019,0
0,0,0,0,0,0.000019,0
0,0,0,0,0,0.000019,0
0,0,0,0,0,0.000019,0
0,0,0,0,0,0.000020,0
0,0,0,0,0,0.000020,0
0,0,0,0,0,0.000020,0
0,0,0,0,0,0.000020,0
0,0,0,0,0,0.000020,0
0,0,0,0,0,0.000020,0
0,0,0,0,0,0.000020,0
0,0,0,0,0,0.000020,0
0,0,0,0,0,0.000020,0
0,0,0,0,0,0.000021,0
0,0,0,0,0,0.000021,0
0,0,0,0,0,0.000021,0
0,0,0,0,0,0.000021,0
0,0,0,0,0,0.000021,0
0,0,0,0,0,0.000021,0
0,0,0,0,0,0.000021,0
0,0,0,0,0,0.000021,0
0,0,0,0,0,0.000022,0
0,0,0,0,0,0.000022,0
0,0,0,0,0,0.000022,0
0,0,0,0,0,0.000022,0
0,0,0,0,0,0.000022,0
0,0,0,0,0,0.000022,0
0,0,0,0,0,0.000022,0
0,0,0,0,0,0.000022,0
0,0,0,0,0,0.000022,0
0,0,0,0,0,0.000023,0
0,0,0,0,0,0.000023,0
0,0,0,0,0,0.000023,0
0,0,0,0,0,0.000023,0
0,0,0,0,0,0.000023,0
0,0,0,0,0,0.000023,0
0,0,0,0,0,0.000023,0
0,0,0,0,0,0.000023,0
0,0,0,0,0,0.000024,0
0,0,0,0,0,0.000024,0
0,0,0,0,0,0.000024,0
0,0,0,0,0,0.000024,0
0,0,0,0,0,0.000024,0
0,0,0,0,0,0.000024,0
0,0,0,0,0,0.000024,0
0,0,0,0,0,0.000024,0
0,0,0,0,0,0.000025,0
0,0,0,0,0,0.000025,0
0,0,0,0,0,0.000025,0
0,0,0,0,0,0.000025,0
0,0,0,0,0,0.000025,0
0,0,0,0,0,0.000025,0
0,0,0,0,0,0.000025,0
0,0,0,0,0,0.000025,0
0,0,0,0,0,0.000026,0
0,0,0,0,0,0.000026,0
0,0,0,0,0,0.000026,0
0,0,0,0,0,0.000026,0
0,0,0,0,0,0.000026,0
0,0,0,0,0,0.000026,0
0,0,0,0,0,0.000026,0
0,0,0,0,0,0.000027,0
0,0,0,0,0,0.000027,0
0,0,0,0,0,0.000027,0
0,0,0,0,0,0.000027,0
0,0,0,0,0,0.000027,0
0,0,0,0,0,0.000027,0
0,0,0,0,0,0.000027,0
0,0,0,0,0,0.000027,0
0,0,0,0,0,0.000028,0
0,0,0,0,0,0.000028,0
0,0,0,0,0,0.000028,0
0,0,0,0,0,0.000028,0
0,0,0,0,0,0.000028,0
0,0,0,0,0,0.000028,0
0,0,0,0,0,0.000028,0
0,0,0,0,0,0.000029,0
0,0,0,0,0,0.000029,0
0,0,0,0,0,0.000029,0
0,0,0,0,0,0.000029,0
0,0,0,0,0,0.000029,0
0,0,0,0,0,0.000029,0
0,0,0,0,0,0.000029,0
0,0,0,0,0,0.000030,0
0,0,0,0,0,0.000030,0
0,0,0,0,0,0.000030,0
0,0,0,0,0,0.000030,0
0,0,0,0,0,0.000030,0
0,0,0,0,0,0.000030,0
0,0,0,0,0,0.000030,0
0,0,0,0,0,0.000031,0
0,0,0,0,0,0.000031,0
0,0,0,0,0,0.000031,0
0,0,0,0,0,0.000031,0
0,0,0,0,0,0.000031,0
0,0,0,0,0,0.000031,0
0,0,0,0,0,0.000032,0
0,0,0,0,0,0.000032,0
0,0,0,0,0,0.000032,0
0,0,0,0,0,0.000032,0
0,0,0,0,0,0.000032,0
0,0,0,0,0,0.000032,0
0,0,0,0,0,0.000032,0
0,0,0,0,0,0.000033,0
0,0,0,0,0,0.000033,0
0,0,0,0,0,0.000033,0
0,0,0,0,0,0.000033,0
0,0,0,0,0,0.000033,0
0,0,0,0,0,0.000033,0
0,0,0,0,0,0.000034,0
0,0,0,0,0,0.000034,0
0,0,0,0,0,0.000034,0
0,0,0,0,0,0.000034,0
0,0,0,0,0,0.000034,0
0,0,0,0,0,0.000034,0
0,0,0,0,0,0.000034,0
0,0,0,0,0,0.000035,0
0,0,0,0,0,0.000035,0
0,0,0,0,0,0.000035,0
0,0,0,0,0,0.000035,0
0,0,0,0,0,0.000035,0
0,0,0,0,0,0.000035,0
0,0,0,0,0,0.000036,0
0,0,0,0,0,0.000036,0
0,0,0,0,0,0.000036,0
0,0,0,0,0,0.000036,0
0,0,0,0,0,0.000036,0
0,0,0,0,0,0.000036,0
0,0,0,0,0,0.000037,0
0,0,0,0,0,0.000037,0
0,0,0,0,0,0.000037,0
0,0,0,0,0,0.000037,0
0,0,0,0,0,0.000037,0
0,0,0,0,0,0.000037,0
0,0,0,0,0,0.000038,0
0,0,0,0,0,0.000038,0
0,0,0,0,0,0.000038,0
0,0,0,0,0,0.000038,0
0,0,0,0,0,0.000038,0
0,0,0,0,0,0.000038,0
0,0,0,0,0,0.000039,0
0,0,0,0,0,0.000039,0
0,0,0,0,0,0.000039,0
0,0,0,0,0,0.000039,0
0,0,0,0,0,0.000039,0
0,0,0,0,0,0.000040,0
0,0,0,0,0,0.000040,0
0,0,0,0,0,0.000040,0
0,0,0,0,0,0.000040,0
0,0,0,0,0,0.000040,0
0,0,0,0,0,0.000040,0
0,0,0,0,0,0.000041,0
0,0,0,0,0,0.000041,0
0,0,0,0,0,0.000041,0
0,0,0,0,0,0.000041,0
0,0,0,0,0,0.000041,0
0,0,0,0,0,0.000041,0
0,0,0,0,0,0.000042,0
0,0,0,0,0,0.000042,0
0,0,0,0,0,0.000042,0
0,0,0,0,0,0.000042,0
0,0,0,0,0,0.000042,0
0,0,0,0,0,0.000043,0
0,0,0,0,0,0.000043,0
0,0,0,0,0,0.000043,0
0,0,0,0,0,0.000043,0
0,0,0,0,0,0.000043,0
0,0,0,0,0,0.000044,0
0,0,0,0,0,0.000044,0
0,0,0,0,0,0.000044,0
0,0,0,0,0,0.000044,0
0,0,0,0,0,0.000044,0
0,0,0,0,0,0.000044,0
0,0,0,0,0,0.000045,0
0,0,0,0,0,0.000045,0
0,0,0,0,0,0.000045,0
0,0,0,0,0,0.000045,0
0,0,0,0,0,0.000045,0
0,0,0,0,0,0.000046,0
0,0,0,0,0,0.000046,0
0,0,0,0,0,0.000046,0
0,0,0,0,0,0.000046,0
0,0,0,0,0,0.000046,0
0,0,0,0,0,0.000047,0
0,0,0,0,0,0.000047,0
0,0,0,0,0,0.000047,0
0,0,0,0,0,0.000047,0
0,0,0,0,0,0.000047,0
0,0,0,0,0,0.000048,0
0,0,0,0,0,0.000048,0
0,0,0,0,0,0.000048,0
0,0,0,0,0,0.000048,0
0,0,0,0,0,0.000048,0
0,0,0,0,0,0.000049,0
0,0,0,0,0,0.000049,0
0,0,0,0,0,0.000049,0
0,0,0,0,0,0.000049,0
0,0,0,0,0,0.000049,0
0,0,0,0,0,0.000050,0
0,0,0,0,0,0.000050,0
0,0,0,0,0,0.000050,0
0,0,0,0,0,0.000050,0
0,0,0,0,0,0.000050,0
0,0,0,0,0,0.000051,0
0,0,0,0,0,0.000051,0
0,0,0,0,0,0.000051,0
0,0,0,0,0,0.000051,0
0,0,0,0,0,0.000051,0
0,0,0,0,0,0.000052,0
0,0,0,0,0,0.000052,0
0,0,0,0,0,0.000052,0
0,0,0,0,0,0.000052,0
0,0,0,0,0,0.000053,0
0,0,0,0,0,0.000053,0
0,0,0,0,0,0.000053,0
0,0,0,0,0,0.000053,0
0,0,0,0,0,0.000053,0
0,0,0,0,0,0.000054,0
0,0,0,0,0,0.000054,0
0,0,0,0,0,0.000054,0
0,0,0,0,0,0.000054,0
0,0,0,0,0,0.000054,0
0,0,0,0,0,0.000055,0
0,0,0,0,0,0.000055,0
0,0,0,0,0,0.000055,0
0,0,0,0,0,0.000055,0
0,0,0,0,0,0.000056,0
0,0,0,0,0,0.000056,0
0,0,0,0,0,0.000056,0
0,0,0,0,0,0.000056,0
0,0,0,0,0,0.000056,0
0,0,0,0,0,0.000057,0
0,0,0,0,0,0.000057,0
0,0,0,0,0,0.000057,0
0,0,0,0,0,0.000057,0
0,0,0,0,0,0.000058,0
0,0,0,0,0,0.000058,0
0,0,0,0,0,0.000058,0
0,0,0,0,0,0.000058,0
0,0,0,0,0,0.000058,0
0,0,0,0,0,0.000059,0
0,0,0,0,0,0.000059,0
0,0,0,0,0,0.000059,0
0,0,0,0,0,0.000059,0
0,0,0,0,0,0.000060,0
0,0,0,0,0,0.000060,0
0,0,0,0,0,0.000060,0
0,0,0,0,0,0.000060,0
0,0,0,0,0,0.000061,0
0,0,0,0,0,0.000061,0
0,0,0,0,0,0.000061,0
0,0,0,0,0,0.000061,0
0,0,0,0,0,0.000061,0
0,0,0,0,0,0.000062,0
0,0,0,0,0,0.000062,0
0,0,0,0,0,0.000062,0
0,0,0,0,0,0.000062,0
0,0,0,0,0,0.000063,0
0,0,0,0,0,0.000063,0
0,0,0,0,0,0.000063,0
0,0,0,0,0,0.000063,0
0,0,0,0,0,0.000064,0
0,0,0,0,0,0.000064,0
0,0,0,0,0,0.000064,0
0,0,0,0,0,0.000064,0
0,0,0,0,0,0.000065,0
0,0,0,0,0,0.000065,0
0,0,0,0,0,0.000065,0
0,0,0,0,0,0.000065,0
0,0,0,0,0,0.000066,0
0,0,0,0,0,0.000066,0
0,0,0,0,0,0.000066,0
0,0,0,0,0,0.000066,0
0,0,0,0,0,0.000067,0
0,0,0,0,0,0.000067,0
0,0,0,0,0,0.000067,0
0,0,0,0,0,0.000067,0
0,0,0,0,0,0.000068,0
0,0,0,0,0,0.000068,0
0,0,0,0,0,0.000068,0
0,0,0,0,0,0.000068,0
0,0,0,0,0,0.000069,0
0,0,0,0,0,0.000069,0
0,0,0,0,0,0.000069,0
0,0,0,0,0,0.000069,0
0,0,0,0,0,0.000070,0
0,0,0,0,0,0.000070,0
0,0,0,0,0,0.000070,0
0,0,0,0,0,0.000070,0
0,0,0,0,0,0.000071,0
0,0,0,0,0,0.000071,0
0,0,0,0,0,0.000071,0
0,0,0,0,0,0.000071,0
0,0,0,0,0,0.000072,0
